run_id,experiment,model,digest,variant,subset,workers,n,valid,valid_first,runaway,out_tok_mean,reviews_per_min,ollama,date,other_models_loaded,gpu_before,gpu_after
e6_think_false_8b,E6,qwen3:8b,500a1f067a9f,base,n24,1,24,23,23,1,363.7083,5.6984,0.34.3,2026-09-24,,"85, 330 MHz, 6923 MiB","89, 870 MHz, 6945 MiB"
e6_think_omitted_8b,E6,qwen3:8b,500a1f067a9f,base,n24,1,24,21,21,3,377.6250,4.5598,0.34.3,2026-09-24,,"86, 1560 MHz, 6955 MiB","88, 1110 MHz, 6951 MiB"
e6_think_true_8b,E6,qwen3:8b,500a1f067a9f,base,n24,1,24,22,21,3,366.5000,4.8587,0.34.3,2026-09-24,,"86, 1605 MHz, 6941 MiB","88, 1095 MHz, 6887 MiB"
e7_ip_4b,E7,qwen3:4b,359d7dd4bcda,base,n50,1,50,50,50,0,313.3200,12.5461,0.34.2,2026-09-23,,"84, 210 MHz, 4594 MiB","88, 1110 MHz, 4567 MiB"
e7_localhost_4b,E7,qwen3:4b,359d7dd4bcda,base,n50,1,50,50,50,0,311.8000,9.8994,0.34.2,2026-09-23,,"78, 210 MHz, 4567 MiB","83, 1725 MHz, 4572 MiB"
e8_4b_t1,E8,qwen3:4b,359d7dd4bcda,base,n48,1,48,48,48,0,313.7708,12.8659,0.34.2,2026-09-23,,"86, 1905 MHz, 4692 MiB","89, 1110 MHz, 4683 MiB"
e8_4b_t2,E8,qwen3:4b,359d7dd4bcda,base,n48,2,48,48,48,0,313.7708,10.5647,0.34.2,2026-09-23,,"87, 1755 MHz, 4735 MiB","86, 1545 MHz, 4700 MiB"
e8_4b_t4,E8,qwen3:4b,359d7dd4bcda,base,n48,4,48,48,48,0,314.0833,20.9569,0.34.2,2026-09-23,,"86, 495 MHz, 4772 MiB","86, 1905 MHz, 4684 MiB"
e8_4b_t8,E8,qwen3:4b,359d7dd4bcda,base,n48,8,48,48,48,0,316.5833,25.1568,0.34.2,2026-09-23,,"86, 1455 MHz, 4683 MiB","88, 1110 MHz, 4740 MiB"
e8_8b_t1,E8,qwen3:8b,500a1f067a9f,base,n48,1,48,48,47,1,353.2292,7.0883,0.34.3,2026-09-24,,"85, 1410 MHz, 6501 MiB","89, 810 MHz, 6506 MiB"
e8_8b_t2,E8,qwen3:8b,500a1f067a9f,base,n48,2,48,47,47,1,351.1667,8.8570,0.34.3,2026-09-24,,"85, 1275 MHz, 6554 MiB","88, 825 MHz, 6512 MiB"
e8_8b_t4,E8,qwen3:8b,500a1f067a9f,base,n48,4,48,47,47,1,353.1458,13.0872,0.34.3,2026-09-24,,"85, 315 MHz, 6496 MiB","89, 945 MHz, 6504 MiB"
e8_8b_t8,E8,qwen3:8b,500a1f067a9f,base,n48,8,48,48,47,1,354.8125,15.2357,0.34.3,2026-09-24,,"86, 1485 MHz, 6506 MiB","89, 885 MHz, 6560 MiB"
e8_4b_t1_b,E8,qwen3:4b,359d7dd4bcda,base,n48,1,48,48,48,0,315.5417,12.0465,0.34.3,2026-09-24,,"86, 1890 MHz, 4318 MiB","87, 1110 MHz, 4256 MiB"
e8_4b_t2_b,E8,qwen3:4b,359d7dd4bcda,base,n48,2,48,48,48,0,316.9583,11.3662,0.34.3,2026-09-24,,"78, 210 MHz, 4275 MiB","87, 1110 MHz, 4300 MiB"
e8_4b_t4_b,E8,qwen3:4b,359d7dd4bcda,base,n48,4,48,48,48,0,317.7292,21.6685,0.34.3,2026-09-24,,"86, 1905 MHz, 4256 MiB","87, 1560 MHz, 4287 MiB"
e8_4b_t8_b,E8,qwen3:4b,359d7dd4bcda,base,n48,8,48,48,48,0,321.7708,24.0166,0.34.3,2026-09-24,,"83, 1500 MHz, 4300 MiB","87, 1110 MHz, 4318 MiB"
e10_repeat_4b,E10,qwen3:4b,359d7dd4bcda,base,s200,4,200,200,200,0,315.2000,19.1377,0.34.2,2026-09-23,,"86, 1890 MHz, 4713 MiB","78, 210 MHz, 4687 MiB"
e10_serial_a_4b,E10,qwen3:4b,359d7dd4bcda,base,n100,1,100,100,100,0,327.3000,11.4062,0.34.2,2026-09-23,,"83, 330 MHz, 4600 MiB","89, 915 MHz, 4570 MiB"
e10_serial_b_4b,E10,qwen3:4b,359d7dd4bcda,base,n100,1,100,100,100,0,325.7200,11.1828,0.34.2,2026-09-23,,"85, 270 MHz, 4570 MiB","89, 1020 MHz, 4583 MiB"
nice_reorder_4b,NICE,qwen3:4b,359d7dd4bcda,instructions_first,s200,4,200,196,196,0,337.4184,21.0903,0.34.2,2026-09-23,,"84, 375 MHz, 4593 MiB","88, 1350 MHz, 4591 MiB"
nice_inc_no_default_4b,NICE,qwen3:4b,359d7dd4bcda,incident_no_default,n120,4,120,120,120,0,320.5750,21.9177,0.34.2,2026-09-23,,"85, 360 MHz, 4580 MiB","89, 1110 MHz, 4588 MiB"
nice_inc_phrases_4b,NICE,qwen3:4b,359d7dd4bcda,incident_phrases,n120,4,120,120,120,0,327.3000,20.9217,0.34.2,2026-09-23,,"83, 210 MHz, 4580 MiB","87, 1290 MHz, 4603 MiB"
nice_inc_list_4b,NICE,qwen3:4b,359d7dd4bcda,incident_list,n120,4,120,120,120,0,327.5917,20.3781,0.34.2,2026-09-23,,"83, 300 MHz, 4600 MiB","86, 1575 MHz, 4580 MiB"
l11_language_4b,L11,qwen3:4b,359d7dd4bcda,base,foreign,4,38,38,38,0,320.4474,21.3781,0.34.3,2026-09-24,,"80, 210 MHz, 4294 MiB","87, 1155 MHz, 4292 MiB"
nice_maxlength_4b,NICE,qwen3:4b,359d7dd4bcda,max_length,s200,4,200,200,200,0,312.9100,21.5823,0.34.3,2026-09-24,,"86, 1890 MHz, 4275 MiB","86, 1830 MHz, 4265 MiB"
